Review,Rating
"""I worked for Fiserv a Financial firm serving almost all Financial institutions in the United States. Very flexible environment to work and gain great knowledge on how the Banking Funds transactions work with risk and fraud management. It was a challenging role for me to manage such secured products and be part of the Development Operations team.""",4.5
"""The leadership team has a clear direction for the future and does a great job of keeping us motivated.  Management is supportive and provides us with guidance and the resources we need to be successful in our role. There’s a high level of professionalism and collaboration which I appreciate and connect with.""",5.0
"""I have worked in GE Healthcare as contractor for 2 years. Its a good work environment, providing a good work-life balance.""",4.0
"""I worked for Hyatt hotels for many years. My last year was as an opening team member of the Grand Hyatt at SFO. Hyatt is great when it comes to fostering growth and giving you a chance to success. They do pay on the lower side and expect longer hours.""",4.0
"""I have no complaints about this employer. I really loved working there because of the diversity that the company has. I made many friends from different backgrounds and that helped me to grow in my career.""",5.0
"""Some days can be intense with work and meetings and other days can be half the intensity. The most enjoyable part of the job is the people I work with. My co-workers definitely make hard days easier.""",5.0
"""They are very professional and take care of their co-workers.""",5.0
"""I have a complicated relationship with this company. I was there as an intern following the layoff from the DowDuPont merger. That said morale was low and office politics were high. At the end of my internship I elected not to come back to the company after I finished school because of an uncomfortable interaction I had with my manager about my sexuality. Overall I greatly enjoyed the work environment and company culture, but I was not comfortable with the control over my career that that manager would have if I stayed on.""",4.0
"""The diverse clientele we serve is not just a business asset, but a treasure trove of insights that has significantly contributed to honing our technical skills. This blend of an extraordinary team, receptive management, and a rich client base creates a fertile ground for professional growth and meaningful engagements.""",5.0
"""Honeywell is a global company. I worked in the Aerospace division for 12 years.  I started as a Tech III and finished off as an Electrical Engineer II.  Aerospace was hit extremely hard by COVID-19.  So reductions in force were unavoidable.""",5.0
"""I’ve worked for Dick’s Sporting Goods since 2019 and I have a wonderful experience working here. The managers make working there enjoyable and are always there to help with anything. Dick’s as a company does a lot for their employees in how they pay, reward, and promote within.""",4.0
"""Harris Corporation is one of the well known consulting corporations, they work with any kind of applications out there. I have worked with medical, educational, insurance, financial, etc. applications. Everyone is a team player in the environment I have worked with so far. We deal with internal issues as they came alone without creating any scene at work.""",4.5
"""Goodyear is a great company. I’ve been with the company since 2013. I started as press loader operator and work my way up to be apart of the leadership team through hard work and dedication.""",4.0
"""Amazing opportunity to network, learn and grow. The skills I will take from Emory University will make me the most competitive applicant in a plethora of fields.""",5.0
"""I've worked for Electrolux from February 2019 to Jun 2019 as a design intern.""",4.0
"""I have been working with Accenture since long time and have found it a good company to start your career. Their policies and work environment are quite good if you join the same as a Fresher. Overall in the long run it establishes a nice background to boost up subsequent growth in IT and related field.""",4.0
"""Independent to work, competitive environment, challenging work, minimum supervision, helping, reputation.""",4.0
"""Good company in its time, but industry challenges have caused strategic alignment issues.""",4.0
"""prefer not to comment...,""",5.0
"""I have worked for Huawei technologies as Staff Mechanical Engineer from Dec 2018. I made significant achievements with good work performance level for architecture design and concept design generation fields so far. And I provided lots of novelty ideas to the company. And one of them is now registering with US Patent Office.""",5.0
"""I would rather not write a review.""",4.0
"""This was overall a good experience for me.""",4.0
"""good for entry level tech role.""",4.0
"""Dupont was a great company to dive into the manufacturing industry. I joined in 2018 and have progressed through various roles in the organization. Safety was held at a high standard in this company which I appreciated greatly. Work life balance was also a big part of this company. Overall, I was able to develop critical skills as an engineer with a great manager.""",4.5
"""I've worked for eBay since 2011. I work as a platform team leader in eBay China, my responsibilities are as following: Communicate with product owner about requirement, do estimation of task and assign them to members. New feature development including design, implement and code review. Arrange technical knowledge sharing in ShanghaI team and provide tech support. Site issue analysis and solution proposal. Design reviews for other projects of ShanghaI team.""",4.5
"""Good place to work! Have a balanced work-life environment. Opportunities are many and need to constantly learn new technologies.""",4.5
"""First class place to work.""",5.0
"""I really enjoyed reading new methods for analysis and solving programming challenges.""",5.0
"""My only concern was call grading.""",4.0
"""Hyatt is a company that believes in caring for others so they can be their best.  I have thoroughly enjoyed my time with the company and have many cherished memories from all the different properties I have worked.""",5.0
"""I enjoyed working in the place. The people are very nice and work atmosphere is great.""",5.0
"""Well developed company with big budget for growth and operation.""",4.5
"""I've worked for Grainger for 3.5 years and it has been overall a good experience.  We've experienced a lot of change in recent years that has been necessary to adapt to the current market.""",4.0
"""Fujitsu Americas Inc. is a great place to work with a flexible and balanced workplace.""",4.5
"""I have worked at BNY Mellon since 2007.  I have 9 years experience as a Senior Reconciliation Clerk and 5 years experience as a Client Service Representative.""",4.0
"""It's a great company to work for, and I loved the people there.""",4.0
"""Absolutely one of the best ""base"" careers I have ever had. This company is the pinnacle of the automotive manufacturing technology. The principles and policies are clear and precise. Their motivation for excellence is unsurpassed.""",4.5
"""I have worked at DirecTV for my last project. It was really good company and very nice people to work with.""",5.0
"""Great company to work for""",5.0
"""Overall happy with previous employment.""",4.5
"""I have been working for my company from 2010 and till date. The company has given me a lot opportunity to learn more and be strong in my career what I do. The work culture is one of the best where you can balance your personal life and work. We are also encouraged to improve skill set thru various learning from programs by top learning providers across the globe.""",4.5
"""I worked for Fiserv between 2011 and 2019.  Fiserv is a very strong company with a wide variety of solutions within the Financial Services industry.""",4.0
"""Great place to work. Enjoyed my time there.""",4.0
"""Accenture is a goal oriented company with excellent values and work culture and always seeking to grow each day. They have top notch employees with all the necessary skill needed to push the company to attain its goals and objectiives""",5.0
"""I was pleased to have worked for this company.""",4.0
"""This company was a great opportunity to explore and grow my potential.""",4.0
"""Hilton Grand Vacations is a good company with lots of local outreach. They care about their employees and offer a good range of benefits.""",5.0
"""Boeing is a great company to work for""",5.0
"""Great company with an amazing mission and strong leadership. Getting to support the best customers in the world is amazing. Generous PTO and benefits packages as well.""",5.0
"""The Emission Testing Services group at the Chrysler Proving Grounds is a very professional group that does an excellent job. I enjoyed my time a CPG unfortunately, they were not able to get my contract (Via RGBSI) renewed. I would highly recommend CPG as a place to work""",4.5
"""One of the best outsourcing companies in Kyiv, Ukraine. Nevertheless, SF should be the better place to live.""",4.0
"""I’ve worked for McDonald’s for 3 years and let it go because it was time for a new career so I ended up working at Dicks Sporting Goods start in March 2019 and worked there tell July 20 because I was getting ready to go to college. Dicks Sporting goods only hired me to work there in the summer time so now I’m currently unemployed and looking for a new career.""",4.0
"""I enjoyed working there. Great work environment, and everyone was positive.""",4.5
"""Worked at FANNIE MAE for 5 years. FANNIE is a very good company. My Manager and Director were very good people.  I would recommend the company to anyone.""",5.0
"""Georgia Tech is a great place to receive a PhD.  The infrastructure, expertise, and funding are nearly unparalleled.""",4.5
"""I worked with Electrolux for 6 months as an Industrial Design Intern. I've found that their design team is full of people who care not just about their career but also about the team. I had a great time while there.""",4.0
"""I have worked as a Benefits Advisor for Aflac for a year. This position has made me a much better marketing and sales candidate, and I will always be grateful. The only reason I want to leave is to explore a more marketing-related career.""",4.5
"""I have worked for GT since 2015. This is one of strongest universities in USA. GT policy allows to choose the area of research and be responsible for results. Lot of sheared facilities help a lot.""",4.5
"""Loved working at Earthlink until I got laid off.  Now, I don't love them so much.  They are in a transition to make the company into a leader in hosted solutions but had to cut 1/3 of the full time IT staff and outsource to India to do it.  But I'm just bitter, it's a great place to work and hope they come around.""",4.0
"""I enjoy teaching and working with people. I have supportive supervisors.""",4.5
"""I have worked for Avaya since 2014. Been fortunate to report to a leader  not a boss who gave me the power and ability to maneuver and continuously provided me feedback and improved my leadership. He has taught me how to be a leader than a Boss.""",4.0
"""I enjoyed my time there. My team in my office location was excellent!!!""",4.5
"""Worked at AMD as a DTV engineer. The place is good but I just left it to seek more challenges.""",4.0
"""It's a good old established company.""",5.0
"""Great culture (perhaps the most friendly environment I have ever worked in) and meaningful opportunities for professional development.  Lots of opportunities to be a part of high-visibility and transformational work as a junior employee.  As you may expect with a Fortune 500, there is some administrative red tape and processes may sometimes take longer than you would like.""",4.0
"""I learned a lot in the four months here from fellow coworkers and contractors.""",4.0
"""Great place to work especially for someone straight out of college. It is important to note that this type of recruiting position is sales based as opposed to HR based so a lot of you job duties are rooted in sales functions.""",4.0
"""Very good environment to work with.""",4.0
"""It's a good company to work for when they have work. It's a low stress working environment. Coworkers are very friendly. Schedules are not very tight, normally have enough room to investigate, research and finish the assignments. Flexible work hours, is very convenient for people having family.""",5.0
"""I have worked for Aerotek Inc since October 2020. They are an amazing company to work with and test employees fairly and care about their needs.""",5.0
"""ExxonMobil is a wonderful company to work for. Once you build a relationship, you are joined into a family. For the motivated individual, projects and introductions to new technologies are endless.""",5.0
"""I liked everything that I did at Burger King.""",5.0
"""Overall Good Company to work for. Excellent People culture and great values.""",4.5
"""I've worked at CCI since 2006 and overall is a good company to work for. Like any other company sometimes changes can be good and bad. When the old CEO left the company in 2009 I was not sure what direction the company was heading. I was lucky to get away from 3 layoffs within 3 years. Unfortunately my luck ended in 2014 when I got laid off .""",4.5
"""NANANANANANANANANANANNANAN""",5.0
"""I enjoyed the easy process of being able to get to the point and upload my resume for an easy submittal. I also love weed.""",5.0
"""A good company, sometimes a great company. Big. So lots of different departments. You really do need a program to tell the players.""",4.5
"""I've worked for Domino's for NGSS project, which is the in store applications that Domino's use to take, make and deliver the orders. I found it as a strong company with latest technologies.""",4.5
"""I have been working at FIS for 6 months. I am working in a contract position, my project is ending soon.""",5.0
"""I've worked for BP since 2004 and was an intern going back to 2001.  The company is a strong energy company that while experiencing some tough time, has remained a leader in the world of Energy Production.  For your career, expect to be challenged with a fast-moving system with multiple opportunities for advancement.""",4.0
"""Currently no company to review""",4.5
"""Currently no company to review""",4.5
"""Good working for Capital one""",5.0
"""The company I work for has had clear philosophy in terms of researching and exploding its core technologies allowing it to be at the forefront in the automotive business. This approach empowers its directors via their independent units to create technological breakthroughs for which I have contributed directly.""",4.5
"""It is one of the best in its group. Top with safety and new training as well as new technology.""",4.5
"""Excellent company! I've worked there for 5 years and liked it very much!""",4.5
"""please see my resume for your references""",5.0
"""I have worked for the company a total of 5 years. Good benefits. Management is okay. Not lots of room to grow. The job itself is fast-paced and requires lots of multitasking, but is overall interesting.""",4.0
"""My time with GDIT was brief.  The contract I was hired onto was defunded.  However, I would definitely work there again.  The people are professional, and management does communicate.  The major difficulty was the client.""",4.0
"""I worked at Hyatt Regency Orlando for 18 months. It was a great place to work and the hotel really feels like family. Selling the hotel was a dream and I would recommend to anyone looking to work in a fast paced, high volume market like Orlando.""",4.0
"""I've worked as a Marketing Assistant with Aramark on the Boston University Dining Account since September 2019. It has been a great collaborative experience with exposure to new projects and learning opportunities. My current job has offered me an exposure to channelize my skills and aim for a career in project management.""",4.5
"""A great company with limited ceiling but great salary.""",5.0
"""I loved a ton of things about my last professional job. I worked for a great company, with a great group and a great internal team. I also made lifelong friends there.I like that my job environment is very casual . My immediate manager is a good guy and doesnt hesitate to showcase your successes. My coworkers are almost all fun and great to work with. I met three of my closest friends at this job and I still get to hang out with them almost every day.""",4.0
"""This is best company I have ever worked for.  The benefits are amazing and there is a team environment where everyone works together to get the job done.  Each person in the People division is an expert in their field and they maintain a high level of excellence with everything they do.""",5.0
"""Great work environment! The ability to learn the job from the best people. The company culture is outstanding.""",4.5
"""I've worked for Cisco Umbrella's marketing department for about 8 months now and I love the experience so far. They're very easy to work with, have a great corporate structure, and really listen to my needs in completing each and every project. They make it easy to do my job and I love them for it.""",5.0
"""Great company!!! The best place to work.""",5.0
"""I worked for 25 years at AT&T, in the last 5 years the company spend more time restructuring and downsizing than running the business.""",4.0
"""A great place to work.""",4.0
"""First Data is doing really interesting things with mobile payments. The people I work with are dedicated, interesting and so great to work with. My project never sits still. I am constantly working on new and interesting features. My direct reports and my manager all support me. This is one of my favorite jobs.""",5.0
"""The opportunity in Afghanistan was contracted specifically to CSTC-A resulting in limitations for back-office support""",4.0
"""I feel very proud of what I contributed at Harvard. Unfortunately, no one else there has the capacity to fully understand the scope of what I made look easy. It was not, but I left them in a much better place than they were when I started. :-)""",4.0
"""I have worked at Lilly for 5 years. Lilly has great values and truly values its employees. The company operates with the highest level of integrity""",4.5
"""I have worked for the Hilton Anatole since 2015.  I have deeply enjoyed my time with the hotel as it gave me the opportunity to work with talented co-workers and amazing clients.  I have been able to further develop my skills.  The hotel is run by a talented executive team that fully supports their team members.""",4.5
"""DynCorp is involved in Logistics, Operations and Maintenance; Security and Aircraft maintenance as a Federal Government Contractor. I worked for the company from January 5, 2008 - September 28, 2014. The company employs over 25,000 employees worldwide. The company's primary focus is serving the US Government in the capacities of training, logistics, and infrastructure support.""",4.5
"""Working at Dell is a little bit like suffering an extended psychotic break, but the people in the teams that I work with are bright, caring and interesting people and I value the experience of working with them.""",4.5
"""Great place to work and grow with""",5.0
"""Davita has a very good company culture. It drives teamwork and good rapport with teammates. Large milestones are celebrated as a team, and that makes us all want to work harder together.   We celebrate with our teams and as a company every year.""",4.0
"""Spectrum is an amazing company who cares deeply about their employees, great benefits, free services.""",4.0
"""One of the funnest jobs I have had.""",4.0
"""I have worked for First Bank since 2014 as a Commercial Loan Assistant.  I was overall happy with my First Bank experience.""",5.0
"""I have worked with Comcast for about 2 years now. it provides you opportunities to grow and the company has good benefits.""",4.0
"""Not a bad company to work for. Just not enough people to do the job, so the manager has to do most of the work.""",4.0
"""I worked more than 1 year and its very comfortable and great job for education sector.""",5.0
"""I have been employed by Ford Motor Company for close to 10 years and I value the experience that I have gained from that.""",4.0
"""Amazing company to work for! I was thrilled with the level of experience that I was given. I was well taken care of and was given the tools and knowledge necessary to be successful. I felt like a member of the team immediately and received help in my internship the entire time. The end of internship project was an excellent capstone to the whole internship.""",4.0
"""I have worked in Discover almost two years, I've learned lots of things.""",4.5
"""Excellent company that offers a lot of growth and development chances. You can advance swiftly through the ranks with hard work and the right attitude. The atmosphere is fantastic, and most staff appear content to be employed there. I was able to get a lot of knowledge and develop my talents. I had the chance to manage projects on my own, and I discovered how to prioritize and work on several tasks at once.""",5.0
"""Events.com values the well-being of its employees. It's not just about getting the job done here; it's also about ensuring everyone enjoys what they're doing. There's a genuine effort to balance productivity with job satisfaction, and that makes a massive difference in day-to-day work life.""",5.0
"""I have a total of 2 years experience working with this company. It has a great work culture and team spirit. It has been an amazing journey to see myself grow both professionally and personally.""",4.0
"""I’ve worked for the Boeing company since 1978 and retired in 2015.  Boeing is the largest aerospace company in the world. Company has great benefits and training programs.""",5.0
"""I have worked for HM management and Dunkin’ Donuts good start-up companies for anyone seeking entry-level jobs, you will be able to get trained so well for the professional level. my owner was so understanding as I worked for them remotely which is convenient for me to work at home. every job environment just depends on your behavior and understanding level.""",5.0
"""Hilton Grand Vacations is a good company with lots of local outreach. They care about their employees and offer a good range of benefits.""",5.0
"""I've worked for Domino's for NGSS project, which is the in store applications that Domino's use to take, make and deliver the orders. I found it as a strong company with latest technologies.""",4.5
"""I believe in relationships and collaboration. Instead of always SPOC I like to share the knowledge and have a backup always for most of the important tasks.""",4.0
"""I have worked for LTI infotech for around 5 months now.It is a really organized company.They have a lot internal training going on.""",4.0
"""I worked as an Account Manager in a remote office, but still had plenty of contact with team members in different parts of the country, so that I still felt like part of the larger team.""",4.0
"""Great Company but they have constant reductions in Force so job stability is not great""",4.0
"""Exciting learning experience and opportunity.""",4.5
"""They don't offer much in benefits but they do have a really positive and jovial work environment. But you make one mistake and the chance of recovery for that is null.""",4.0
"""Great Company but they have constant reductions in Force so job stability is not great""",4.0
"""DHL is a monolith in the 3PL world, their are the obvious pros and cons, however something the Corporate structure invests in a lot is personal development, which I find to be rare in this space.  They have great classes and online learning portal to better yourself.""",4.0
"""a very good company to work""",4.0
"""I worked for Florida Power and Light for 12 years now.
Amazing company with high respect for the Company Values, excellent service to the customers, good financial results, and with Safety as a first priority.""",4.0
"""An Excellent organization.""",5.0
"""Fujitsu Americas Inc. is a great place to work with a flexible and balanced workplace.""",4.5
"""Great team and work environment.""",4.0
"""Very good company, good benefits and good work environment, a little lack of organization that in the long run can drive you crazy, also it could take you years to move or grow, that can be annoying/bad in the long run.""",4.0
"""Great company to work for in SF""",5.0
"""It is great to work this great company for the first job after college graduation.""",4.0
"""I have been working as a Footwear Specialist at Dicks Sporting Goods for a year and it has been an interesting experience. There I collaborated on a team, engaged with customers to provide professional feedback, and help out in different departments if needed. Overall I have had a genuine experience.""",4.5
"""Good experience working with the Company. We could easily approach higher level managers. Culture was good their pay package was great and competitive. I have enjoyed working with my team on various customer projects.""",5.0
"""Good work culture. Their compensation is good and they care for their employees. The company has a lot of long-timers so it’s hard to get new ideas and technology introduced as people don’t like change. Otherwise, a good company to work in.""",4.0
"""I've interned at Apple Siri for the past 4 months, dealing with translation and comprehension tasks regarding Siri. The team is competitive and I delivered my job excellently. Now I'm looking for a competitive environment to turn my ML skills into wonderful products.""",5.0
"""I probably want to say the people;  work done on time and respect time schedule.""",5.0
"""I have been an employee for about 10 months and believe that the organization fully supports its employees in the daily activities as well as encourages them to grow.""",4.0
"""Great company with great leaders.""",4.5
"""I've worked with Georgia Pacific for little over a year now. I enjoy working for them, but due to current family circumstances, we would like to move back closer to home. While working at Georgia Pacific I have learned more and more each day about automation and sharpened my electrical/mechanical troubleshooting skills. I enjoy the team I work with""",4.5
"""I was fortunate to have a great supervisor who was very knowledgeable as well as opportunities to move up to higher positions with more responsibility. Unfortunately, raises were only lateral. The people in Senior Management have no personal involvement with their employees. Many IT employees in the New York Metro Area lost their jobs as a result of Data Centre Consolidation. Unless you live in Texas or in any other of their strategic sites, there are really no opportunities for you.""",4.0
"""Fidelity National Title is a great place to work with very nice people!""",5.0
"""It was a great opportunity working in Geico for about two years and the best thing was my supervisor to whom I learned a lot. I feel that time flies and my two years passed so fast. I appreciate the leadership qualities of my boss whose focus was to get the job done in best possible way and to build great relationship in between team members to improve and utilize their best skills.""",5.0
"""Overall good researching company.""",5.0
"""prefer not to comment...,""",5.0
"""For more than a decade I have had the honor of working at HEB and it has been one of the most thrilling and greatest experiences I have had. The company is known for creating lasting relationships with their customers and helping their community when it is in need. The management and staff create an environment where working does not feel like working. They are also flexible with what their workers need and transparent. Since I have been able to work here, they have taught me about serving customers and making them my number one priority. Overall, the company is a great place to work at.""",4.0
"""I've worked for amazon for almost 2 years now, and the atmosphere is great. great time off benefits, and easy for growth in the company.""",4.5
"""I never met the CEO however, my facilities' General Manager was a visionary.""",4.5
"""I have no complaints about this employer. I really loved working there because of the diversity that the company has. I made many friends from different backgrounds and that helped me to grow in my career.""",5.0
"""I have worked for the same company for almost 19 years.  This company believes in empowering its employees by providing continuous training, mentoring and opportunities enabling each individual to acquire skills and experience to grow and have the tools to be successful in any position.  They believe in a work life balance and the welfare of all its employees.  They offer excellent benefits, 401K and provide services to promote healthy living.  This company is known for it high quality products and takes pride producing the top aircraft in its industry.""",4.0
"""Goodwill Industries provided me with every training opportunity I could have wished for when starting out a new job. This made the transition into the job smooth and easy, and helped lead me to a successful time there. Both the management and co-workers of this location were some of the most friendly and helpful that I have ever had, and made it sad to leave when it was time.""",4.5
"""I have worked for Humana for 9 months and enjoy working with my coworkers and leader. Humana is one of the most compliant companies when it comes to laws and regulations. Makes me feel good that not only do they protect the company but also my career.""",4.0
"""very good, excellent, a perfect place to work""",4.5
"""Great place to work . The pay is good and the environment is fun.""",4.0
"""I have worked as data scientist -!: they are professional and motivate you to achieve goals. You can learn a lot in short period of time.""",5.0
"""I've worked for Halliburton for 47 years. They have allowed me to evolve and have the additional training to move into many areas such as Supervision and as Project development engineer. My skillset has evolved with the opportunities afforded me.""",5.0
"""Great place to work. Challenging and very performance driven company leading the way in North America Open wheel racing""",4.5
"""Dicks Sporting Goods is one of only a handful of national retailers that is not only profitable but realizing exceptional growth in a difficult retail environment. They are smart, fast, and savvy....and have targeted the household member, mothers, who controls the checkbook. In addition, the sporting goods category is a continuing sector that has customers from age 5 to 60....basically a lifetime of sales potential.""",4.5
"""Great company to work for if you want to learn and develop your skills.""",4.0
"""Working for Florida International University (FIU) was a rewarding experience. I was a freelance employee but was treated in a respectful and professional manner.  I was able to combine my recent master's degree with a doctorate thesis in my past career in a successful effort to pass my graduate committee at The University of Florida.""",5.0
"""A great company with limited ceiling but great salary.""",5.0
"""I have worked for Arizona State University for 3 semesters now. I have found that the team has paired me with innovative entrepreneurs that I can help move forward. There is clear communication and I feel like a team member even though I am a remote team member.""",5.0
"""It is a great team to work with""",4.0
"""Working for the Hilton Scottsdale resort and villas has provided me with a wealth of developmental knowledge as I grew into positions of management. Those skills varied from building relationships with clients and vendors to providing the highest standards in customer service; to creating family and friends amongst strangers,""",4.0
"""Good company to work for. Good learning""",4.0
"""I worked with Experian Direct for six months, I enjoyed working with them and learned a lot. The company is very strong, however, outsourcing to Costa Rica.""",4.5
"""I enjoy working with students, managing and training staff to improve performance.""",4.0
"""Great company, good benefits and pay. Overall positive experience working here.""",4.5
"""I liked that I felt like I was an integral part of the team.""",4.0
"""Its a world leader in healthcare equipment manufacturing space and a great place to work.""",5.0
"""A large corporate company and it feels like it.""",4.0
"""I've worked for HEB for 3 months.
I enjoy the organization and fast paced workplace. 
I have made some great connections while working with the organization. 
You need to be organized, quick, technology savvy, and have great soft skills.""",4.0
"""challenging, lots of new things to learn in the business, customer interaction""",5.0
"""I am working for Charter communications for almost a year, its been very interesting to know the background work of Entertainment field. People may think its just TV and Internet but the work the company do is astonishing. I would say Charter really has one of the best product development team and I'm proud to be part of it.""",5.0
"""It was a wonderful place to work and good management.""",4.5
"""I believe in being with an organization longevity, I enjoy learning about the organization and the people.  I have had great experience working with internal and external customers, detailed orientated as it relates to Organizing, documentation, negotiating contracts, and processing and closing loans.""",4.5
"""Huawei is a world leader in telecommunications. The company is in many countries and has more than 5000 employees. I was working in Colombia's team for the delivery center. The experience was so good helping other companies with the infrastructure administration.""",4.0
"""I have worked for Goodyear since 2009, It's a very powerful company to work for.""",4.0
"""Great place to work. Enjoyed my time there.""",4.0
"""Bank of America is a decent company to work for, especially if you have a college degree.""",4.0
"""The management team has been robust in delivering product training and mentorship. I work with a group of talented professionals who are enjoyable to be around. Anytime I've had concerns, I've received ample support.""",5.0
"""A good company to work for.""",4.5
"""I have worked for Ericsson for over a year and I can boldly say Ericsson is a world standard company with offices in all the continents of the world.""",4.0
"""I have worked at Chevron since November of 2015.  It is a great company that really takes care of its operators.  The pay and the work schedules are great.""",4.5
"""It was a great employer.""",5.0
"""I have worked at AT&T for past 14 years, i was hired as contractor and then converted to a full time employee. I have managed many strategic project while working at AT&T.""",4.0
"""I have worked with ZhiYong He on multiple website projects involving Wordpress, Woocommerce, PHP, Javascript, C#, and more. He is a highly skilled software developer and diligent in his work. He is dedicated to providing the customer a high quality solution on time and within budget.""",5.0
"""I’ve worked as a graduate assistant for a year and I’ve learnt a lot from my university and my supervisor. It is the best experience I had so far.""",4.0
"""An outsourcing company that configures computing devices for its customers. A fast-paced work environment helps to learn about configuring software versions (upgrade/downgrade). It helps you to learn more about escalation, ticketing systems (Service Now).""",4.0
"""I worked for Stubhub from 2012 until February when covid-19 hit. eBay sold the company to a European company Viagogo https://www.viagogo.com. They laid off the entire Technology group and shipped all the work to China. I loved working there. My department had a great relationship together. Our manager Hanna Sicker was always there for us. I will always stay in contact with our group going forward we chat on WhatsApp all the time. Looking for a new home that reminds me of what it was like to work with such a great group.""",4.5
"""BMS is a good company overall, with a competitive salary and benefits and a reasonable pipeline. It is possible to get leadership/autonomous roles under the right circumstances, although this is inconsistent. The work was always interesting.""",4.0
"""It is a good place to work.""",4.0
"""Good team organization and new testing tool.""",4.0
"""I have been contracting with CompuCom since June 2019.  CompuCom is located in Ohio, and I live in Rehoboth Beach, Delaware.  I have done various consulting jobs for CompuCom, but the main client of their's that I work for is Nanticoke Hospital located in Seaford, Delaware.  The work is extremely sporadic.  I usually get less than a week's notice for upcoming work.  However; it only amounts to about maybe 5 workdays a month since June 2019.  I have consistently discussed with my recruiter that I would much rather have a longer-term contract say, 3 months minimum.  A full-time position would be even better.""",4.0
"""I've worked for Gannett for about 3 and a half years. It's been an amazing experience learning and utilizing cloud technologies and learning industry best practices. The people in the company are fantastic and have been and instrumental factor in my growth in the company.""",4.0
"""Great company and great people. If you are looking to learn something new and useful for your career Express Scripts INC. is the best company i have ever worked with.""",4.5
"""I have worked with the company for 4.5 years and provided me the opportunity to develop my skills by conducting trainings.""",4.5
"""I've work at Goodyear since 2018. 
I gained multiple experiences on Siemens Allen Bradley, and factory talk.
My experienced at Goodyear was amazing, I solve alot of complex  and difficult problems.
I would love to apply my experienced to this job.""",4.0
"""They give a lot of support in finding work.""",4.5
"""I've worked in the mortgage industry for a long time. The company I did work for was called The Mortgage Lab. Based in downtown Minneapolis beautiful warehouse district. The company primarily focused on helping those who couldn't help themselves. My job primarily was to focus on getting the education backing that I needed, build a pipeline, build a customer base, market myself, and become an insightful, dedicated hard worker.""",5.0
"""I've worked with Harley Davidson for a year it was a great experience, great company, and excellent people. Harley will be around for years to come.""",5.0
